Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
D. Hopkins,ARI,70,11,65,26,71,-11.20%,67,-9.20%,96,717,50,632,3,31,67%,2,11-Jan
R. Moore,ARI,71,7,71,6,70,-11.20%,71,-11.20%,56,414,80,362,1,8,73%,0,15-Feb
M. Brown,ARI,72,7,72,4,72,-11.90%,72,-12.20%,107,709,42,714,3,51,63%,1,4/124
N. Collins,HOU,73,-2,76,-19,73,-13.00%,77,-16.50%,66,481,71,413,2,77,56%,0,0/0
M. Pittman,IND,74,-6,75,-13,74,-13.20%,74,-13.90%,141,925,29,895,4,15,70%,2,0/0
H. Renfrow,LV,75,-12,74,-13,76,-15.80%,76,-16.10%,50,330,83,298,2,11,72%,3,0/0
E. Moore,NYJ,76,-16,73,1,77,-16.00%,73,-12.60%,65,450,78,373,1,74,57%,0,0/0
D. Samuel,SF,77,-23,79,-32,75,-15.70%,78,-16.90%,94,632,53,583,2,63,60%,0,28-Mar
R. Woods,TEN,78,-27,77,-24,78,-16.50%,75,-16.10%,91,527,61,536,2,69,58%,0,5-Jan
D. Robinson,BAL,79,-32,81,-48,79,-18.20%,81,-21.10%,75,458,69,420,2,44,64%,2,Jan-32
R. Doubs,GB,80,-35,82,-51,80,-19.50%,83,-22.60%,67,425,79,369,3,50,63%,2,0/0
Q. Watkins,PHI,81,-37,78,-32,82,-21.80%,80,-20.40%,51,354,84,276,3,39,65%,1,Feb-40
B. Skowronek,LAR,82,-46,80,-35,84,-22.30%,79,-20.10%,61,376,82,319,0,45,64%,0,0/0
N. Agholor,NE,83,-57,83,-60,85,-26.40%,85,-27.10%,53,362,85,255,2,68,58%,2,20-Feb
C. Claypool,2TM,84,-59,84,-88,83,-22.30%,84,-26.90%,80,451,70,414,1,70,58%,1,28-Jan
D. Johnson,PIT,85,-98,85,-108,81,-21.00%,82,-21.80%,147,882,39,815,0,67,59%,1,May-48
D. Parker,NE,1,196,1,200,4,40.20%,4,41.40%,47,539,1,590,3,23,66%,0,Feb-47
R. Shaheed,NO,2,155,2,158,2,44.10%,3,45.10%,34,488,3,451,2,2,82%,1,0/0
T. Irwin,CIN,3,110,3,110,1,52.20%,1,52.30%,23,231,12,300,4,24,65%,0,0/0
M. Goodwin,SEA,4,107,5,108,13,20.40%,13,20.60%,42,387,7,422,4,27,64%,0,0/0
D. Duvernay,BAL,5,100,8,90,18,14.40%,21,11.50%,49,407,4,450,3,7,76%,0,0/0
V. Jefferson,LAR,6,100,9,85,17,15.20%,23,11.00%,44,369,5,440,3,45,55%,0,18-Feb
M. Hardman,KC,7,97,6,100,10,24.30%,9,25.30%,34,297,8,357,4,10,74%,0,0/0
I. Hodgins,2TM,8,96,4,109,20,12.10%,18,15.30%,48,392,2,459,4,5,77%,1,9-Jan
